UID,Language,City,Age,Gender,Sport,Interests,Motivation,TimeSpent,Quiz,News,Blogs,Video,Audio,Pictures,Logs,Points,ShareContent,Quizzes,Reward,DropOff,Engagement,TotalScore,HighEngage,FootballEnthu,RewardSeek,PollEnthu
UID11,Telugu,Kochi,25,Male,Football,Individual,Performance-Driven,213,Yes,Yes,Yes,Yes,Yes,Yes,6,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID12,Tamil,Chennai,48,Female,Tennis,Creativity,Performance-Driven,353,No,No,Yes,No,Yes,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID13,English,Delhi,41,Male,Tennis,Creativity,Performance-Driven,64,Yes,No,No,No,Yes,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID14,Telugu,Hyderabad,49,Female,Football,Individual,Goal-Oriented,358,No,Yes,Yes,No,Yes,Yes,7,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID15,English,Chennai,21,Female,Tennis,Creativity,Performance-Driven,231,No,Yes,No,No,Yes,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID16,Tamil,Mumbai,49,Male,Hockey,Creativity,Goal-Oriented,173,No,Yes,Yes,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID17,Tamil,Chennai,33,Female,Tennis,Creativity,Goal-Oriented,118,Yes,No,Yes,No,No,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID18,Tamil,Delhi,34,Male,Hockey,Flexibility,Performance-Driven,192,No,No,Yes,Yes,Yes,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID19,Telugu,Chennai,37,Male,Football,Flexibility,Performance-Driven,135,No,Yes,No,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID20,Malyalam,Kochi,46,Male,Golf,Creativity,Performance-Driven,123,No,No,No,No,No,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID21,Telugu,Hyderabad,28,Female,Tennis,Creativity,Goal-Oriented,79,No,No,No,Yes,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID22,Tamil,Hyderabad,32,Male,Golf,Creativity,Goal-Oriented,71,Yes,No,No,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID23,Malyalam,Hyderabad,43,Female,Hockey,Flexibility,Competitive-Spirit,87,No,Yes,Yes,No,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID24,Hindi,Kochi,48,Male,Golf,Creativity,Performance-Driven,103,Yes,No,No,No,No,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID25,Hindi,Kochi,33,Male,Golf,Creativity,Competitive-Spirit,240,Yes,Yes,Yes,No,No,No,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID26,Malyalam,Mumbai,31,Male,Tennis,Individual,Competitive-Spirit,293,No,Yes,No,No,No,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID27,Tamil,Chennai,43,Male,Hockey,Flexibility,Competitive-Spirit,195,Yes,No,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID28,Tamil,Delhi,47,Male,Golf,Flexibility,Goal-Oriented,167,No,Yes,Yes,Yes,No,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID29,English,Hyderabad,33,Female,Football,Creativity,Goal-Oriented,159,No,No,Yes,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID30,Hindi,Delhi,41,Male,Cricket,Creativity,Performance-Driven,307,No,Yes,Yes,No,Yes,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID31,Malyalam,Delhi,35,Female,Golf,Creativity,Competitive-Spirit,330,Yes,No,No,Yes,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID32,Malyalam,Delhi,28,Female,Hockey,Individual,Competitive-Spirit,259,No,Yes,Yes,No,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID33,Malyalam,Kochi,32,Female,Cricket,Flexibility,Goal-Oriented,49,Yes,No,Yes,Yes,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID34,English,Kochi,21,Male,Football,Creativity,Competitive-Spirit,216,Yes,Yes,No,Yes,Yes,No,7,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID35,Tamil,Delhi,38,Male,Hockey,Individual,Goal-Oriented,229,No,No,No,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID36,Tamil,Delhi,19,Male,Golf,Flexibility,Competitive-Spirit,210,Yes,Yes,Yes,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID37,Hindi,Chennai,30,Male,Golf,Individual,Performance-Driven,53,Yes,No,No,No,Yes,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID38,Hindi,Chennai,31,Male,Football,Flexibility,Performance-Driven,211,Yes,No,Yes,Yes,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,Yes,Yes,Yes
UID39,Telugu,Delhi,43,Male,Golf,Creativity,Performance-Driven,234,No,No,Yes,Yes,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID40,Malyalam,Delhi,45,Male,Hockey,Individual,Performance-Driven,225,No,No,Yes,No,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID41,Hindi,Kochi,49,Female,Tennis,Flexibility,Competitive-Spirit,252,No,Yes,No,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID42,Tamil,Hyderabad,46,Female,Football,Individual,Goal-Oriented,72,No,No,Yes,Yes,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID43,Telugu,Hyderabad,35,Female,Tennis,Flexibility,Performance-Driven,347,No,Yes,Yes,No,No,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID44,Hindi,Chennai,32,Male,Tennis,Flexibility,Competitive-Spirit,78,Yes,No,Yes,No,Yes,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID45,English,Hyderabad,26,Male,Tennis,Creativity,Competitive-Spirit,243,No,Yes,No,No,No,No,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID46,Malyalam,Chennai,41,Male,Cricket,Creativity,Performance-Driven,54,No,Yes,No,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID47,Tamil,Hyderabad,33,Female,Football,Individual,Competitive-Spirit,54,Yes,Yes,No,Yes,No,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID48,Malyalam,Chennai,25,Male,Cricket,Flexibility,Goal-Oriented,359,No,Yes,No,No,No,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID49,Hindi,Delhi,33,Male,Hockey,Flexibility,Performance-Driven,137,Yes,Yes,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID50,Malyalam,Delhi,26,Female,Football,Creativity,Goal-Oriented,84,Yes,Yes,Yes,Yes,Yes,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID51,Hindi,Mumbai,22,Male,Tennis,Flexibility,Performance-Driven,342,Yes,No,Yes,Yes,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID52,Malyalam,Chennai,49,Female,Hockey,Individual,Goal-Oriented,185,Yes,Yes,No,Yes,Yes,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID53,Hindi,Kochi,25,Male,Football,Flexibility,Performance-Driven,342,Yes,No,No,Yes,Yes,Yes,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID54,Hindi,Mumbai,29,Female,Hockey,Flexibility,Goal-Oriented,324,Yes,No,No,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID55,Telugu,Mumbai,36,Female,Football,Creativity,Competitive-Spirit,292,No,No,No,No,Yes,Yes,5,5,10,7,8,5,Medium,35,Yes,Yes,Yes,Yes
UID56,English,Kochi,41,Female,Hockey,Individual,Competitive-Spirit,39,Yes,No,No,Yes,No,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID57,Hindi,Delhi,27,Male,Hockey,Creativity,Performance-Driven,99,No,No,No,Yes,Yes,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID58,Tamil,Hyderabad,41,Male,Football,Flexibility,Performance-Driven,310,Yes,No,No,Yes,Yes,Yes,5,5,10,7,8,5,Medium,35,Yes,Yes,Yes,Yes
UID59,Tamil,Hyderabad,20,Female,Cricket,Creativity,Performance-Driven,31,Yes,Yes,No,Yes,No,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID60,Hindi,Hyderabad,21,Male,Hockey,Individual,Performance-Driven,202,Yes,No,No,Yes,No,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID61,Tamil,Mumbai,33,Male,Cricket,Flexibility,Competitive-Spirit,61,No,Yes,Yes,Yes,No,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID62,Tamil,Hyderabad,44,Female,Tennis,Individual,Performance-Driven,333,No,Yes,No,No,Yes,Yes,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID63,Telugu,Chennai,46,Female,Golf,Flexibility,Performance-Driven,31,Yes,No,No,Yes,No,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID64,Telugu,Chennai,21,Male,Tennis,Individual,Goal-Oriented,219,No,No,Yes,No,No,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID65,Tamil,Delhi,50,Female,Hockey,Flexibility,Goal-Oriented,141,Yes,Yes,Yes,Yes,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID66,Malyalam,Chennai,46,Female,Hockey,Individual,Performance-Driven,234,Yes,No,No,Yes,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID67,Telugu,Chennai,33,Male,Hockey,Flexibility,Goal-Oriented,197,Yes,No,No,Yes,Yes,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID68,Malyalam,Kochi,39,Female,Cricket,Flexibility,Competitive-Spirit,129,No,Yes,No,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID69,English,Hyderabad,47,Male,Cricket,Individual,Performance-Driven,119,No,No,No,No,Yes,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID70,English,Kochi,29,Female,Hockey,Flexibility,Goal-Oriented,94,Yes,No,Yes,Yes,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID71,Hindi,Hyderabad,41,Female,Football,Creativity,Performance-Driven,109,Yes,No,No,No,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID72,Malyalam,Hyderabad,43,Male,Golf,Creativity,Competitive-Spirit,341,No,Yes,Yes,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID73,Malyalam,Kochi,23,Male,Golf,Individual,Performance-Driven,134,Yes,Yes,No,No,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID74,Tamil,Hyderabad,24,Male,Football,Creativity,Performance-Driven,204,Yes,Yes,Yes,No,No,Yes,1,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID75,English,Mumbai,43,Male,Cricket,Creativity,Goal-Oriented,191,Yes,No,Yes,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID76,English,Mumbai,38,Female,Football,Individual,Goal-Oriented,152,Yes,Yes,Yes,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID77,Telugu,Chennai,39,Male,Football,Flexibility,Goal-Oriented,146,No,No,No,No,Yes,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID78,Tamil,Kochi,19,Male,Cricket,Flexibility,Competitive-Spirit,121,Yes,No,No,Yes,Yes,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID79,Malyalam,Mumbai,49,Male,Cricket,Individual,Goal-Oriented,179,No,No,Yes,No,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID80,English,Delhi,23,Male,Hockey,Flexibility,Goal-Oriented,165,No,No,No,No,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID81,Telugu,Kochi,48,Male,Football,Individual,Competitive-Spirit,352,No,No,No,No,No,Yes,6,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID82,Tamil,Hyderabad,25,Male,Hockey,Flexibility,Competitive-Spirit,296,Yes,No,Yes,Yes,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID83,Malyalam,Hyderabad,22,Female,Football,Flexibility,Competitive-Spirit,69,Yes,No,No,Yes,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID84,English,Kochi,43,Male,Golf,Flexibility,Competitive-Spirit,76,Yes,Yes,Yes,No,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID85,Malyalam,Mumbai,39,Female,Cricket,Individual,Competitive-Spirit,137,No,No,Yes,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID86,Hindi,Delhi,48,Male,Golf,Individual,Goal-Oriented,74,No,No,Yes,Yes,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID87,Hindi,Mumbai,18,Male,Golf,Flexibility,Competitive-Spirit,30,No,Yes,Yes,Yes,No,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID88,English,Chennai,33,Male,Golf,Creativity,Competitive-Spirit,72,No,Yes,Yes,No,No,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID89,Malyalam,Chennai,33,Male,Hockey,Individual,Performance-Driven,253,Yes,Yes,Yes,No,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID90,Malyalam,Mumbai,22,Female,Hockey,Flexibility,Goal-Oriented,269,No,Yes,Yes,Yes,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID91,Hindi,Chennai,18,Female,Football,Creativity,Goal-Oriented,278,Yes,Yes,No,Yes,No,No,1,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID92,Hindi,Hyderabad,18,Female,Tennis,Individual,Competitive-Spirit,88,Yes,No,No,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID93,Telugu,Chennai,30,Male,Golf,Flexibility,Performance-Driven,258,No,No,No,No,No,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID94,Hindi,Mumbai,49,Female,Football,Creativity,Competitive-Spirit,61,Yes,No,Yes,No,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID95,Telugu,Hyderabad,32,Male,Golf,Individual,Performance-Driven,315,No,No,No,No,No,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID96,English,Delhi,29,Female,Hockey,Individual,Goal-Oriented,199,No,No,Yes,Yes,Yes,Yes,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID97,Hindi,Mumbai,29,Male,Football,Individual,Goal-Oriented,274,No,Yes,No,No,Yes,Yes,7,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID98,Malyalam,Delhi,29,Female,Tennis,Individual,Goal-Oriented,55,No,Yes,Yes,No,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID99,Malyalam,Kochi,23,Female,Cricket,Flexibility,Competitive-Spirit,222,No,Yes,Yes,No,Yes,No,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID100,Hindi,Mumbai,50,Female,Golf,Creativity,Performance-Driven,106,No,No,No,Yes,No,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID101,Malyalam,Hyderabad,37,Male,Tennis,Individual,Goal-Oriented,345,Yes,Yes,No,Yes,Yes,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID102,Malyalam,Kochi,22,Male,Tennis,Creativity,Competitive-Spirit,115,No,No,No,No,Yes,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID103,Malyalam,Mumbai,37,Male,Hockey,Flexibility,Competitive-Spirit,208,Yes,Yes,No,Yes,No,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID104,Tamil,Delhi,37,Male,Golf,Creativity,Goal-Oriented,135,Yes,No,No,Yes,No,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID105,English,Kochi,19,Male,Hockey,Flexibility,Performance-Driven,259,No,No,No,Yes,No,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID106,Tamil,Mumbai,31,Female,Golf,Individual,Competitive-Spirit,189,Yes,Yes,No,No,No,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID107,Telugu,Hyderabad,49,Female,Tennis,Flexibility,Competitive-Spirit,49,No,Yes,No,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID108,Hindi,Delhi,23,Female,Cricket,Flexibility,Goal-Oriented,279,No,No,Yes,Yes,No,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID109,Hindi,Chennai,42,Male,Tennis,Flexibility,Competitive-Spirit,317,Yes,Yes,No,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID110,Hindi,Mumbai,27,Male,Cricket,Creativity,Performance-Driven,112,Yes,No,Yes,No,No,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID111,Tamil,Delhi,21,Female,Football,Individual,Competitive-Spirit,122,No,Yes,No,Yes,No,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID112,Telugu,Delhi,30,Male,Golf,Flexibility,Goal-Oriented,66,No,No,No,No,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID113,Telugu,Delhi,34,Female,Tennis,Individual,Competitive-Spirit,170,No,No,No,No,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID114,Hindi,Mumbai,25,Male,Tennis,Flexibility,Goal-Oriented,156,Yes,Yes,Yes,Yes,No,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID115,Tamil,Chennai,25,Male,Football,Flexibility,Competitive-Spirit,267,Yes,Yes,Yes,No,No,Yes,7,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID116,English,Mumbai,45,Female,Tennis,Creativity,Performance-Driven,58,Yes,No,Yes,Yes,Yes,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID117,Tamil,Delhi,28,Male,Golf,Flexibility,Performance-Driven,308,No,No,Yes,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID118,Malyalam,Mumbai,41,Male,Tennis,Flexibility,Goal-Oriented,273,No,No,Yes,Yes,Yes,No,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID119,Hindi,Chennai,25,Male,Golf,Creativity,Goal-Oriented,159,Yes,Yes,No,No,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID120,Hindi,Kochi,47,Female,Cricket,Creativity,Competitive-Spirit,178,Yes,No,Yes,No,No,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID121,Tamil,Delhi,36,Female,Hockey,Flexibility,Performance-Driven,84,No,Yes,No,Yes,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID122,Tamil,Chennai,45,Male,Football,Individual,Performance-Driven,36,Yes,No,No,Yes,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID123,Malyalam,Hyderabad,19,Female,Hockey,Individual,Competitive-Spirit,107,Yes,No,No,No,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID124,Tamil,Chennai,45,Male,Golf,Creativity,Performance-Driven,253,Yes,No,No,Yes,Yes,Yes,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID125,Telugu,Hyderabad,39,Female,Golf,Individual,Performance-Driven,360,Yes,No,No,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID126,English,Chennai,46,Female,Hockey,Creativity,Competitive-Spirit,285,Yes,Yes,Yes,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID127,Tamil,Mumbai,21,Male,Football,Creativity,Competitive-Spirit,127,No,No,Yes,Yes,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID128,Telugu,Kochi,43,Male,Golf,Creativity,Goal-Oriented,328,No,No,No,No,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID129,English,Mumbai,42,Male,Tennis,Flexibility,Goal-Oriented,249,Yes,Yes,Yes,Yes,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID130,Telugu,Delhi,39,Male,Golf,Flexibility,Goal-Oriented,168,Yes,No,Yes,No,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID131,English,Chennai,32,Male,Football,Creativity,Competitive-Spirit,46,No,Yes,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID132,Malyalam,Hyderabad,30,Male,Hockey,Individual,Competitive-Spirit,239,Yes,Yes,Yes,No,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID133,Tamil,Kochi,26,Female,Cricket,Flexibility,Competitive-Spirit,354,Yes,No,No,No,Yes,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID134,Hindi,Hyderabad,47,Female,Hockey,Flexibility,Competitive-Spirit,219,Yes,Yes,No,Yes,No,Yes,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID135,Telugu,Hyderabad,32,Male,Hockey,Flexibility,Performance-Driven,222,No,No,Yes,Yes,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID136,English,Hyderabad,33,Female,Cricket,Individual,Performance-Driven,62,No,Yes,No,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID137,Malyalam,Delhi,33,Male,Golf,Creativity,Goal-Oriented,149,Yes,No,Yes,No,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID138,Tamil,Delhi,32,Male,Football,Flexibility,Goal-Oriented,198,No,Yes,Yes,Yes,No,No,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID139,Hindi,Mumbai,34,Male,Tennis,Creativity,Performance-Driven,338,Yes,No,No,No,No,Yes,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID140,Telugu,Kochi,30,Female,Cricket,Flexibility,Performance-Driven,276,Yes,No,Yes,No,Yes,Yes,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID141,Malyalam,Chennai,20,Male,Hockey,Creativity,Competitive-Spirit,57,Yes,Yes,Yes,No,Yes,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID142,Hindi,Delhi,18,Female,Hockey,Flexibility,Performance-Driven,48,Yes,Yes,Yes,Yes,No,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID143,English,Mumbai,27,Male,Golf,Flexibility,Goal-Oriented,55,No,No,No,No,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID144,Malyalam,Mumbai,32,Male,Cricket,Creativity,Competitive-Spirit,162,No,Yes,No,No,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID145,Tamil,Mumbai,37,Male,Tennis,Creativity,Performance-Driven,156,Yes,Yes,Yes,Yes,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID146,Telugu,Mumbai,23,Male,Cricket,Creativity,Performance-Driven,143,Yes,No,Yes,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID147,English,Chennai,19,Female,Golf,Creativity,Goal-Oriented,115,No,No,Yes,No,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID148,Hindi,Kochi,44,Male,Tennis,Flexibility,Performance-Driven,235,No,Yes,No,Yes,No,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID149,Tamil,Delhi,38,Male,Cricket,Individual,Competitive-Spirit,314,No,Yes,Yes,Yes,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID150,Tamil,Kochi,30,Female,Tennis,Individual,Performance-Driven,360,Yes,No,No,Yes,Yes,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID151,Tamil,Delhi,47,Female,Football,Individual,Performance-Driven,55,Yes,Yes,Yes,No,Yes,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID152,Hindi,Delhi,34,Female,Hockey,Creativity,Competitive-Spirit,105,No,No,No,No,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID153,Hindi,Mumbai,41,Male,Football,Individual,Goal-Oriented,250,Yes,No,Yes,No,Yes,Yes,2,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID154,Telugu,Delhi,24,Female,Cricket,Individual,Performance-Driven,142,No,Yes,Yes,Yes,Yes,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID155,English,Chennai,50,Female,Hockey,Flexibility,Performance-Driven,211,No,Yes,No,No,No,No,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID156,Hindi,Kochi,40,Male,Cricket,Flexibility,Performance-Driven,68,No,No,No,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID157,Telugu,Delhi,23,Male,Tennis,Flexibility,Competitive-Spirit,58,No,Yes,No,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID158,Tamil,Mumbai,46,Female,Golf,Flexibility,Performance-Driven,262,Yes,Yes,No,Yes,Yes,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID159,Telugu,Kochi,34,Female,Hockey,Flexibility,Performance-Driven,112,Yes,Yes,No,Yes,No,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
