Login_ID,Contest_ID,Contest_Name,Week,Week_Time_Spent_Hours,Week_Logins,Age_Group,Location,Device,Fan_Level,Purchase_Item,Purchase_Price,Content_Viewed
C001_8,C001,Football Prediction Challenge,Week_4,61.04,6,18-25,USA,Desktop,Super Fan,None,0,Football Prediction Challenge
C001_8,C001,Football Prediction Challenge,Week_5,27.98,2,18-25,USA,Desktop,Fan,None,0,Match Highlights
C001_9,C001,Football Prediction Challenge,Week_1,110,11,26-35,Brazil,Mobile,Ultra Fan,Poster,200,Football Prediction Challenge
C001_9,C001,Football Prediction Challenge,Week_2,110,11,26-35,Brazil,Mobile,Ultra Fan,Cap,509,Player Interview
C001_9,C001,Football Prediction Challenge,Week_3,77.63,7,26-35,Brazil,Mobile,Super Fan,Cap,304,Football Prediction Challenge
C001_9,C001,Football Prediction Challenge,Week_4,44.63,4,26-35,Brazil,Mobile,Super Fan,Cap,542,Football Prediction Challenge
C001_10,C001,Football Prediction Challenge,Week_1,110,11,18-25,Brazil,Mobile,Ultra Fan,Poster,158,Player Interview
C001_10,C001,Football Prediction Challenge,Week_2,41.6,4,18-25,Brazil,Mobile,Super Fan,Jersey,927,Football Prediction Challenge
C001_10,C001,Football Prediction Challenge,Week_3,17.88,1,18-25,Brazil,Mobile,Fan,None,0,Football Prediction Challenge
C001_10,C001,Football Prediction Challenge,Week_4,16.25,1,18-25,Brazil,Mobile,Fan,None,0,Player Interview
C001_11,C001,Football Prediction Challenge,Week_1,24.21,2,60+,India,Mobile,Fan,Cap,434,Contest Replay
C001_11,C001,Football Prediction Challenge,Week_2,19.29,1,60+,India,Mobile,Fan,Jersey,1279,Football Prediction Challenge
C001_11,C001,Football Prediction Challenge,Week_3,14.74,1,60+,India,Mobile,Fan,Jersey,1140,Match Highlights
C001_11,C001,Football Prediction Challenge,Week_4,9.34,1,60+,India,Mobile,Fan,None,0,Behind the Scenes
C001_11,C001,Football Prediction Challenge,Week_5,5.23,1,60+,India,Mobile,Fan,Cap,579,Match Highlights
C001_12,C001,Football Prediction Challenge,Week_1,43.45,4,18-25,Germany,Mobile,Super Fan,Cap,432,Football Prediction Challenge
C001_12,C001,Football Prediction Challenge,Week_2,48.22,4,18-25,Germany,Mobile,Super Fan,Cap,321,Contest Replay
C001_12,C001,Football Prediction Challenge,Week_3,50.07,5,18-25,Germany,Mobile,Super Fan,Cap,528,Contest Replay
C001_12,C001,Football Prediction Challenge,Week_4,61.47,6,18-25,Germany,Mobile,Super Fan,Cap,484,Player Interview
C001_12,C001,Football Prediction Challenge,Week_5,64.76,6,18-25,Germany,Mobile,Super Fan,Keychain,152,Football Prediction Challenge
C001_13,C001,Football Prediction Challenge,Week_1,19.88,1,18-25,India,Mobile,Fan,None,0,Behind the Scenes
C001_13,C001,Football Prediction Challenge,Week_2,28.25,2,18-25,India,Mobile,Fan,Jersey,1145,Behind the Scenes
C001_13,C001,Football Prediction Challenge,Week_3,67.31,6,18-25,India,Mobile,Super Fan,Cap,503,Football Prediction Challenge
C001_13,C001,Football Prediction Challenge,Week_4,80.63,8,18-25,India,Mobile,Ultra Fan,Cap,303,Contest Replay
C001_13,C001,Football Prediction Challenge,Week_5,110,11,18-25,India,Mobile,Ultra Fan,None,0,Contest Replay
C001_14,C001,Football Prediction Challenge,Week_1,9.74,1,18-25,India,Mobile,Fan,Poster,275,Player Interview
C001_14,C001,Football Prediction Challenge,Week_2,27.25,2,18-25,India,Mobile,Fan,None,0,Live Commentary
C001_14,C001,Football Prediction Challenge,Week_3,31.01,3,18-25,India,Mobile,Fan,None,0,Football Prediction Challenge
C001_14,C001,Football Prediction Challenge,Week_4,33.26,3,18-25,India,Mobile,Fan,Poster,292,Football Prediction Challenge
C001_14,C001,Football Prediction Challenge,Week_5,55.35,5,18-25,India,Mobile,Super Fan,Keychain,184,Behind the Scenes
C001_15,C001,Football Prediction Challenge,Week_1,12.96,1,46-60,USA,Mobile,Fan,Jersey,1380,Live Commentary
C001_15,C001,Football Prediction Challenge,Week_2,25.75,2,46-60,USA,Mobile,Fan,Jersey,1387,Football Prediction Challenge
C001_15,C001,Football Prediction Challenge,Week_3,49.59,4,46-60,USA,Mobile,Super Fan,Poster,297,Contest Replay
C001_15,C001,Football Prediction Challenge,Week_4,58.26,5,46-60,USA,Mobile,Super Fan,Jersey,893,Football Prediction Challenge
C001_16,C001,Football Prediction Challenge,Week_1,16,1,60+,UK,Mobile,Fan,Cap,536,Football Prediction Challenge
C001_16,C001,Football Prediction Challenge,Week_2,13.13,1,60+,UK,Mobile,Fan,None,0,Football Prediction Challenge
C001_16,C001,Football Prediction Challenge,Week_3,11.42,1,60+,UK,Mobile,Fan,Jersey,1413,Football Prediction Challenge
C001_16,C001,Football Prediction Challenge,Week_4,5.05,1,60+,UK,Mobile,Fan,Cap,521,Match Highlights
C001_17,C001,Football Prediction Challenge,Week_1,110,11,26-35,USA,Desktop,Ultra Fan,Cap,378,Contest Replay
C001_17,C001,Football Prediction Challenge,Week_2,78.36,7,26-35,USA,Desktop,Super Fan,Jersey,1498,Match Highlights
C001_17,C001,Football Prediction Challenge,Week_3,60.26,6,26-35,USA,Desktop,Super Fan,Cap,593,Live Commentary
C001_17,C001,Football Prediction Challenge,Week_4,50.27,5,26-35,USA,Desktop,Super Fan,Poster,214,Football Prediction Challenge
C001_18,C001,Football Prediction Challenge,Week_1,86.44,8,26-35,USA,Mobile,Ultra Fan,Jersey,1428,Contest Replay
C001_18,C001,Football Prediction Challenge,Week_2,68.46,6,26-35,USA,Mobile,Super Fan,Keychain,195,Match Highlights
C001_18,C001,Football Prediction Challenge,Week_3,64.38,6,26-35,USA,Mobile,Super Fan,Jersey,805,Match Highlights
C001_18,C001,Football Prediction Challenge,Week_4,53.67,5,26-35,USA,Mobile,Super Fan,None,0,Player Interview
C001_18,C001,Football Prediction Challenge,Week_5,30.34,3,26-35,USA,Mobile,Fan,Keychain,147,Football Prediction Challenge
C001_19,C001,Football Prediction Challenge,Week_1,96.01,9,18-25,UK,Desktop,Ultra Fan,Poster,156,Behind the Scenes
C001_19,C001,Football Prediction Challenge,Week_2,54.42,5,18-25,UK,Desktop,Super Fan,None,0,Football Prediction Challenge
C001_19,C001,Football Prediction Challenge,Week_3,53.33,5,18-25,UK,Desktop,Super Fan,Poster,213,Football Prediction Challenge
C001_19,C001,Football Prediction Challenge,Week_4,29.29,2,18-25,UK,Desktop,Fan,Poster,239,Football Prediction Challenge
C001_20,C001,Football Prediction Challenge,Week_1,15.74,1,18-25,USA,Mobile,Fan,Keychain,121,Football Prediction Challenge
C001_20,C001,Football Prediction Challenge,Week_2,31.59,3,18-25,USA,Mobile,Fan,Jersey,1048,Contest Replay
C001_20,C001,Football Prediction Challenge,Week_3,47.21,4,18-25,USA,Mobile,Super Fan,None,0,Behind the Scenes
C001_20,C001,Football Prediction Challenge,Week_4,62.46,6,18-25,USA,Mobile,Super Fan,Cap,444,Football Prediction Challenge
C001_21,C001,Football Prediction Challenge,Week_1,35.3,3,<18,Brazil,Mobile,Fan,Cap,417,Football Prediction Challenge
C001_21,C001,Football Prediction Challenge,Week_2,35.26,3,<18,Brazil,Mobile,Fan,Cap,408,Football Prediction Challenge
C001_21,C001,Football Prediction Challenge,Week_3,20.21,2,<18,Brazil,Mobile,Fan,Jersey,998,Football Prediction Challenge
C001_21,C001,Football Prediction Challenge,Week_4,12.66,1,<18,Brazil,Mobile,Fan,Cap,367,Player Interview
C001_22,C001,Football Prediction Challenge,Week_1,21.04,2,36-45,Brazil,Desktop,Fan,Jersey,1154,Match Highlights
C001_22,C001,Football Prediction Challenge,Week_2,27.29,2,36-45,Brazil,Desktop,Fan,Jersey,1356,Live Commentary
C001_22,C001,Football Prediction Challenge,Week_3,81.95,8,36-45,Brazil,Desktop,Ultra Fan,Cap,476,Football Prediction Challenge
C001_22,C001,Football Prediction Challenge,Week_4,110,11,36-45,Brazil,Desktop,Ultra Fan,None,0,Live Commentary
C001_23,C001,Football Prediction Challenge,Week_1,27.33,11,18-25,Brazil,Tablet,Fan,Poster,226,Football Prediction Challenge
C001_23,C001,Football Prediction Challenge,Week_2,32.86,8,18-25,Brazil,Tablet,Fan,Jersey,1223,Football Prediction Challenge
C001_23,C001,Football Prediction Challenge,Week_3,69.59,6,18-25,Brazil,Tablet,Super Fan,Cap,434,Player Interview
C001_23,C001,Football Prediction Challenge,Week_4,89,3,18-25,Brazil,Tablet,Ultra Fan,Poster,280,Football Prediction Challenge
C001_23,C001,Football Prediction Challenge,Week_5,110,2,18-25,Brazil,Tablet,Ultra Fan,Jersey,1415,Player Interview
C001_24,C001,Football Prediction Challenge,Week_1,86.43,8,36-45,India,Mobile,Ultra Fan,None,0,Live Commentary
C001_24,C001,Football Prediction Challenge,Week_2,52.06,5,36-45,India,Mobile,Super Fan,Keychain,169,Football Prediction Challenge
C001_24,C001,Football Prediction Challenge,Week_3,27.15,2,36-45,India,Mobile,Fan,Cap,501,Match Highlights
C001_24,C001,Football Prediction Challenge,Week_4,25.95,2,36-45,India,Mobile,Fan,Cap,436,Player Interview
C001_25,C001,Football Prediction Challenge,Week_1,16.26,1,26-35,Australia,Tablet,Fan,Poster,172,Match Highlights
C001_25,C001,Football Prediction Challenge,Week_2,46.85,4,26-35,Australia,Tablet,Super Fan,Jersey,1216,Football Prediction Challenge
C001_25,C001,Football Prediction Challenge,Week_3,63.75,6,26-35,Australia,Tablet,Super Fan,Keychain,176,Contest Replay
C001_25,C001,Football Prediction Challenge,Week_4,96.07,9,26-35,Australia,Tablet,Ultra Fan,Jersey,842,Player Interview
C001_25,C001,Football Prediction Challenge,Week_5,105.1,10,26-35,Australia,Tablet,Ultra Fan,Keychain,153,Football Prediction Challenge
C001_26,C001,Football Prediction Challenge,Week_1,61.18,6,26-35,India,Desktop,Super Fan,Jersey,1079,Football Prediction Challenge
C001_26,C001,Football Prediction Challenge,Week_2,104.71,10,26-35,India,Desktop,Ultra Fan,Jersey,843,Football Prediction Challenge
C001_26,C001,Football Prediction Challenge,Week_3,106.54,10,26-35,India,Desktop,Ultra Fan,None,0,Football Prediction Challenge
C001_26,C001,Football Prediction Challenge,Week_4,110,11,26-35,India,Desktop,Ultra Fan,Poster,227,Behind the Scenes
C001_27,C001,Football Prediction Challenge,Week_1,46.86,4,46-60,UK,Desktop,Super Fan,Jersey,809,Football Prediction Challenge
C001_27,C001,Football Prediction Challenge,Week_2,43.54,4,46-60,UK,Desktop,Super Fan,Poster,180,Player Interview
C001_27,C001,Football Prediction Challenge,Week_3,34.77,3,46-60,UK,Desktop,Fan,Poster,237,Contest Replay
C001_27,C001,Football Prediction Challenge,Week_4,7.38,1,46-60,UK,Desktop,Fan,Jersey,931,Match Highlights
C001_28,C001,Football Prediction Challenge,Week_1,17.6,1,18-25,India,Tablet,Fan,Cap,504,Behind the Scenes
C001_28,C001,Football Prediction Challenge,Week_2,20.94,2,18-25,India,Tablet,Fan,Jersey,1195,Behind the Scenes
C001_28,C001,Football Prediction Challenge,Week_3,61.12,6,18-25,India,Tablet,Super Fan,Jersey,805,Football Prediction Challenge
C001_28,C001,Football Prediction Challenge,Week_4,62.4,6,18-25,India,Tablet,Super Fan,None,0,Live Commentary
C001_29,C001,Football Prediction Challenge,Week_1,25.5,2,18-25,Brazil,Tablet,Fan,Jersey,1322,Behind the Scenes
C001_29,C001,Football Prediction Challenge,Week_2,32.57,3,18-25,Brazil,Tablet,Fan,Cap,555,Football Prediction Challenge
C001_29,C001,Football Prediction Challenge,Week_3,46.9,4,18-25,Brazil,Tablet,Super Fan,None,0,Live Commentary
C001_29,C001,Football Prediction Challenge,Week_4,71.17,7,18-25,Brazil,Tablet,Super Fan,Poster,201,Match Highlights
C001_29,C001,Football Prediction Challenge,Week_5,81.74,8,18-25,Brazil,Tablet,Ultra Fan,Jersey,1376,Contest Replay
C001_30,C001,Football Prediction Challenge,Week_1,70.98,7,26-35,USA,Mobile,Super Fan,Jersey,1031,Football Prediction Challenge
C001_30,C001,Football Prediction Challenge,Week_2,63.39,6,26-35,USA,Mobile,Super Fan,None,0,Football Prediction Challenge
C001_30,C001,Football Prediction Challenge,Week_3,61.74,6,26-35,USA,Mobile,Super Fan,Cap,307,Football Prediction Challenge
C001_30,C001,Football Prediction Challenge,Week_4,54.94,5,26-35,USA,Mobile,Super Fan,None,0,Contest Replay
C001_30,C001,Football Prediction Challenge,Week_5,35.63,3,26-35,USA,Mobile,Fan,Keychain,156,Football Prediction Challenge
C001_31,C001,Football Prediction Challenge,Week_1,12.26,1,18-25,Germany,Desktop,Fan,Keychain,155,Match Highlights
C001_31,C001,Football Prediction Challenge,Week_2,16.84,1,18-25,Germany,Desktop,Fan,Keychain,140,Live Commentary
C001_31,C001,Football Prediction Challenge,Week_3,63.23,6,18-25,Germany,Desktop,Super Fan,Jersey,1288,Behind the Scenes
C001_31,C001,Football Prediction Challenge,Week_4,95.44,9,18-25,Germany,Desktop,Ultra Fan,Jersey,1027,Behind the Scenes
C001_31,C001,Football Prediction Challenge,Week_5,103.61,10,18-25,Germany,Desktop,Ultra Fan,Keychain,100,Football Prediction Challenge
C001_32,C001,Football Prediction Challenge,Week_1,76.47,7,18-25,USA,Mobile,Super Fan,None,0,Live Commentary
C001_32,C001,Football Prediction Challenge,Week_2,69.76,6,18-25,USA,Mobile,Super Fan,None,0,Contest Replay
C001_32,C001,Football Prediction Challenge,Week_3,41.4,4,18-25,USA,Mobile,Super Fan,Jersey,1217,Football Prediction Challenge
C001_32,C001,Football Prediction Challenge,Week_4,36.39,3,18-25,USA,Mobile,Fan,Jersey,884,Contest Replay
C001_33,C001,Football Prediction Challenge,Week_1,22.41,2,26-35,USA,Tablet,Fan,Jersey,801,Live Commentary
C001_33,C001,Football Prediction Challenge,Week_2,59.06,5,26-35,USA,Tablet,Super Fan,Poster,199,Football Prediction Challenge
C001_33,C001,Football Prediction Challenge,Week_3,68.05,6,26-35,USA,Tablet,Super Fan,Jersey,1177,Contest Replay
C001_33,C001,Football Prediction Challenge,Week_4,73.51,7,26-35,USA,Tablet,Super Fan,Poster,272,Football Prediction Challenge
C001_34,C001,Football Prediction Challenge,Week_1,51.41,5,46-60,Australia,Mobile,Super Fan,Jersey,975,Football Prediction Challenge
C001_34,C001,Football Prediction Challenge,Week_2,17.69,1,46-60,Australia,Mobile,Fan,Poster,224,Player Interview
C001_34,C001,Football Prediction Challenge,Week_3,12.93,1,46-60,Australia,Mobile,Fan,Cap,593,Contest Replay
C001_34,C001,Football Prediction Challenge,Week_4,10.66,1,46-60,Australia,Mobile,Fan,Jersey,1290,Football Prediction Challenge
C001_34,C001,Football Prediction Challenge,Week_5,8.58,1,46-60,Australia,Mobile,Fan,Jersey,1402,Live Commentary
C001_35,C001,Football Prediction Challenge,Week_1,66.43,6,18-25,UK,Tablet,Super Fan,Poster,201,Football Prediction Challenge
C001_35,C001,Football Prediction Challenge,Week_2,64.44,6,18-25,UK,Tablet,Super Fan,Poster,204,Football Prediction Challenge
C001_35,C001,Football Prediction Challenge,Week_3,56.43,5,18-25,UK,Tablet,Super Fan,Jersey,1101,Player Interview
C001_35,C001,Football Prediction Challenge,Week_4,56.34,5,18-25,UK,Tablet,Super Fan,None,0,Behind the Scenes
C001_35,C001,Football Prediction Challenge,Week_5,28.41,2,18-25,UK,Tablet,Fan,Cap,459,Football Prediction Challenge
C001_36,C001,Football Prediction Challenge,Week_1,83.66,8,18-25,Brazil,Tablet,Ultra Fan,Jersey,1048,Match Highlights
C001_36,C001,Football Prediction Challenge,Week_2,81.89,8,18-25,Brazil,Tablet,Ultra Fan,Poster,207,Live Commentary
C001_36,C001,Football Prediction Challenge,Week_3,80.42,8,18-25,Brazil,Tablet,Ultra Fan,Cap,356,Football Prediction Challenge
C001_36,C001,Football Prediction Challenge,Week_4,47.24,4,18-25,Brazil,Tablet,Super Fan,Poster,229,Live Commentary
C001_36,C001,Football Prediction Challenge,Week_5,23.59,2,18-25,Brazil,Tablet,Fan,Jersey,904,Football Prediction Challenge
C001_37,C001,Football Prediction Challenge,Week_1,110,11,18-25,Australia,Mobile,Ultra Fan,Cap,404,Football Prediction Challenge
C001_37,C001,Football Prediction Challenge,Week_2,110,11,18-25,Australia,Mobile,Ultra Fan,Keychain,111,Football Prediction Challenge
C001_37,C001,Football Prediction Challenge,Week_3,54.39,5,18-25,Australia,Mobile,Super Fan,Jersey,1162,Contest Replay
C001_37,C001,Football Prediction Challenge,Week_4,18.43,1,18-25,Australia,Mobile,Fan,Keychain,107,Contest Replay
C001_38,C001,Football Prediction Challenge,Week_1,71.18,7,26-35,Germany,Tablet,Super Fan,None,0,Football Prediction Challenge
C001_38,C001,Football Prediction Challenge,Week_2,103.57,10,26-35,Germany,Tablet,Ultra Fan,Cap,576,Football Prediction Challenge
C001_38,C001,Football Prediction Challenge,Week_3,110,11,26-35,Germany,Tablet,Ultra Fan,Cap,400,Football Prediction Challenge
C001_38,C001,Football Prediction Challenge,Week_4,110,11,26-35,Germany,Tablet,Ultra Fan,Jersey,1207,Match Highlights
C001_39,C001,Football Prediction Challenge,Week_1,83.11,8,46-60,Germany,Tablet,Ultra Fan,Cap,494,Behind the Scenes
C001_39,C001,Football Prediction Challenge,Week_2,67.52,6,46-60,Germany,Tablet,Super Fan,Poster,223,Football Prediction Challenge
C001_39,C001,Football Prediction Challenge,Week_3,56.7,5,46-60,Germany,Tablet,Super Fan,Poster,209,Football Prediction Challenge
C001_39,C001,Football Prediction Challenge,Week_4,17.33,1,46-60,Germany,Tablet,Fan,Jersey,1375,Football Prediction Challenge
C001_40,C001,Football Prediction Challenge,Week_1,92.92,9,18-25,Germany,Desktop,Ultra Fan,Jersey,1164,Football Prediction Challenge
C001_40,C001,Football Prediction Challenge,Week_2,52.02,5,18-25,Germany,Desktop,Super Fan,Poster,193,Behind the Scenes
C001_40,C001,Football Prediction Challenge,Week_3,43.71,4,18-25,Germany,Desktop,Super Fan,Keychain,120,Behind the Scenes
C001_40,C001,Football Prediction Challenge,Week_4,35.86,3,18-25,Germany,Desktop,Fan,Poster,154,Player Interview
C001_40,C001,Football Prediction Challenge,Week_5,21.92,2,18-25,Germany,Desktop,Fan,None,0,Football Prediction Challenge
C002_1,C002,Basketball Trivia Challenge,Week_1,110,11,26-35,India,Mobile,Ultra Fan,None,0,Basketball Trivia Challenge
C002_1,C002,Basketball Trivia Challenge,Week_2,98.73,9,26-35,India,Mobile,Ultra Fan,Poster,246,Basketball Trivia Challenge
C002_1,C002,Basketball Trivia Challenge,Week_3,68.19,6,26-35,India,Mobile,Super Fan,Cap,381,Behind the Scenes
C002_1,C002,Basketball Trivia Challenge,Week_4,17.74,1,26-35,India,Mobile,Fan,None,0,Live Commentary
C002_2,C002,Basketball Trivia Challenge,Week_1,93.34,9,26-35,Germany,Tablet,Ultra Fan,Poster,293,Basketball Trivia Challenge
C002_2,C002,Basketball Trivia Challenge,Week_2,67.89,6,26-35,Germany,Tablet,Super Fan,Poster,183,Basketball Trivia Challenge
C002_2,C002,Basketball Trivia Challenge,Week_3,25.51,2,26-35,Germany,Tablet,Fan,None,0,Behind the Scenes
C002_2,C002,Basketball Trivia Challenge,Week_4,21.8,2,26-35,Germany,Tablet,Fan,Keychain,130,Basketball Trivia Challenge
C002_3,C002,Basketball Trivia Challenge,Week_1,48.64,4,26-35,India,Tablet,Super Fan,Cap,552,Player Interview
C002_3,C002,Basketball Trivia Challenge,Week_2,67.07,6,26-35,India,Tablet,Super Fan,Poster,229,Behind the Scenes
C002_3,C002,Basketball Trivia Challenge,Week_3,78.1,7,26-35,India,Tablet,Super Fan,Cap,382,Basketball Trivia Challenge
C002_3,C002,Basketball Trivia Challenge,Week_4,85.97,8,26-35,India,Tablet,Ultra Fan,Jersey,1026,Basketball Trivia Challenge
C002_4,C002,Basketball Trivia Challenge,Week_1,86.04,8,26-35,Australia,Tablet,Ultra Fan,Jersey,1439,Player Interview
C002_4,C002,Basketball Trivia Challenge,Week_2,73.04,7,26-35,Australia,Tablet,Super Fan,None,0,Player Interview
C002_4,C002,Basketball Trivia Challenge,Week_3,71.62,7,26-35,Australia,Tablet,Super Fan,Poster,214,Basketball Trivia Challenge
C002_4,C002,Basketball Trivia Challenge,Week_4,32.3,3,26-35,Australia,Tablet,Fan,Jersey,1141,Basketball Trivia Challenge
C002_4,C002,Basketball Trivia Challenge,Week_5,23.66,2,26-35,Australia,Tablet,Fan,Jersey,1142,Basketball Trivia Challenge
C002_5,C002,Basketball Trivia Challenge,Week_1,46.58,4,<18,India,Mobile,Super Fan,Cap,499,Basketball Trivia Challenge
C002_5,C002,Basketball Trivia Challenge,Week_2,45,4,<18,India,Mobile,Super Fan,Poster,230,Basketball Trivia Challenge
C002_5,C002,Basketball Trivia Challenge,Week_3,42.37,4,<18,India,Mobile,Super Fan,Poster,230,Basketball Trivia Challenge
C002_5,C002,Basketball Trivia Challenge,Week_4,34.76,3,<18,India,Mobile,Fan,Jersey,1427,Contest Replay
C002_5,C002,Basketball Trivia Challenge,Week_5,26.73,2,<18,India,Mobile,Fan,Poster,154,Basketball Trivia Challenge
C002_6,C002,Basketball Trivia Challenge,Week_1,48.87,4,18-25,USA,Tablet,Super Fan,Keychain,109,Basketball Trivia Challenge
C002_6,C002,Basketball Trivia Challenge,Week_2,69.78,6,18-25,USA,Tablet,Super Fan,None,0,Basketball Trivia Challenge
C002_6,C002,Basketball Trivia Challenge,Week_3,75.01,7,18-25,USA,Tablet,Super Fan,None,0,Basketball Trivia Challenge
C002_6,C002,Basketball Trivia Challenge,Week_4,76.09,7,18-25,USA,Tablet,Super Fan,Cap,455,Match Highlights
C002_6,C002,Basketball Trivia Challenge,Week_5,80.14,8,18-25,USA,Tablet,Ultra Fan,Jersey,980,Behind the Scenes
C002_7,C002,Basketball Trivia Challenge,Week_1,15.24,1,<18,UK,Desktop,Fan,Cap,530,Basketball Trivia Challenge
C002_7,C002,Basketball Trivia Challenge,Week_2,17.28,1,<18,UK,Desktop,Fan,Keychain,160,Match Highlights
C002_7,C002,Basketball Trivia Challenge,Week_3,20.67,2,<18,UK,Desktop,Fan,Poster,226,Basketball Trivia Challenge
C002_7,C002,Basketball Trivia Challenge,Week_4,38.37,3,<18,UK,Desktop,Fan,Jersey,1334,Live Commentary
C002_7,C002,Basketball Trivia Challenge,Week_5,50.11,5,<18,UK,Desktop,Super Fan,Poster,159,Basketball Trivia Challenge
C002_8,C002,Basketball Trivia Challenge,Week_1,21.99,2,26-35,UK,Desktop,Fan,Poster,157,Basketball Trivia Challenge
C002_8,C002,Basketball Trivia Challenge,Week_2,30.14,3,26-35,UK,Desktop,Fan,Jersey,870,Match Highlights
C002_8,C002,Basketball Trivia Challenge,Week_3,85.2,8,26-35,UK,Desktop,Ultra Fan,None,0,Basketball Trivia Challenge
C002_8,C002,Basketball Trivia Challenge,Week_4,106.65,10,26-35,UK,Desktop,Ultra Fan,Jersey,1373,Basketball Trivia Challenge
C002_8,C002,Basketball Trivia Challenge,Week_5,110,11,26-35,UK,Desktop,Ultra Fan,Cap,455,Live Commentary
