Login_ID,Contest_ID,Contest_Name,Sport_Type,Time_Spent_Hours,Item_Purchased,Purchase_Value,Age_Group,Location,Device,Gender,Purchase_Value
C003_28,C003,Football Fantasy League Challenge,Basketball,182.97,Fan Token,474.42,36-45,USA,Desktop,Female,0
C003_29,C003,Football Fantasy League Challenge,Basketball,56.17,,0,<18,Germany,Mobile,Male,0
C003_30,C003,Football Fantasy League Challenge,Basketball,128.14,,0,18-25,Australia,Mobile,Male,0
C003_31,C003,Football Fantasy League Challenge,Basketball,376.2,,0,18-25,India,Tablet,Female,0
C003_32,C003,Football Fantasy League Challenge,Basketball,160.23,Fan Token,211.28,26-35,USA,Desktop,Female,0
C003_33,C003,Football Fantasy League Challenge,Basketball,204.43,,0,18-25,Australia,Desktop,Male,0
C003_34,C003,Football Fantasy League Challenge,Basketball,47.53,,0,26-35,Germany,Tablet,Male,0
C003_35,C003,Football Fantasy League Challenge,Basketball,347.8,,0,26-35,Brazil,Mobile,Female,0
C003_36,C003,Football Fantasy League Challenge,Basketball,47.39,Match Tickets,670.49,26-35,Germany,Mobile,Male,0
C003_37,C003,Football Fantasy League Challenge,Basketball,293.75,Match Tickets,511.69,26-35,India,Desktop,Female,0
C003_38,C003,Football Fantasy League Challenge,Basketball,65.38,,0,<18,USA,Mobile,Male,0
C003_39,C003,Football Fantasy League Challenge,Basketball,375.92,,0,<18,Australia,Mobile,Male,0
C003_40,C003,Football Fantasy League Challenge,Basketball,152.93,Match Tickets,912.21,18-25,Brazil,Desktop,Male,0
C003_41,C003,Football Fantasy League Challenge,Basketball,147.76,,0,46-60,Australia,Desktop,Male,0
C003_42,C003,Football Fantasy League Challenge,Basketball,128.78,,0,26-35,UK,Desktop,Male,0
C003_43,C003,Football Fantasy League Challenge,Basketball,248.91,Discount Voucher,458.6,36-45,UK,Desktop,Female,0
C003_44,C003,Football Fantasy League Challenge,Basketball,43.78,,0,<18,Germany,Mobile,Female,0
C003_45,C003,Football Fantasy League Challenge,Basketball,177.3,,0,36-45,India,Desktop,Male,0
C003_46,C003,Football Fantasy League Challenge,Basketball,338.87,,0,<18,UK,Mobile,Female,0
C003_47,C003,Football Fantasy League Challenge,Basketball,126.44,,0,18-25,Brazil,Mobile,Male,0
C003_48,C003,Football Fantasy League Challenge,Basketball,370.54,Discount Voucher,916.82,36-45,UK,Desktop,Male,0
C003_49,C003,Football Fantasy League Challenge,Basketball,190.26,Signed Jersey,923.77,18-25,India,Mobile,Female,0
C003_50,C003,Football Fantasy League Challenge,Basketball,232.48,,0,26-35,Australia,Mobile,Female,0
C003_51,C003,Football Fantasy League Challenge,Basketball,337.17,Fan Token,290.45,26-35,Germany,Desktop,Female,0
C003_52,C003,Football Fantasy League Challenge,Basketball,254.3,,0,18-25,Brazil,Tablet,Female,0
C003_53,C003,Football Fantasy League Challenge,Basketball,192.67,,0,26-35,Brazil,Tablet,Male,0
C003_54,C003,Football Fantasy League Challenge,Basketball,402.76,,0,18-25,Australia,Desktop,Female,0
C003_55,C003,Football Fantasy League Challenge,Basketball,288.44,,0,26-35,India,Desktop,Female,0
C003_56,C003,Football Fantasy League Challenge,Basketball,349.36,Merchandise Pack,949.78,<18,Germany,Tablet,Female,0
C003_57,C003,Football Fantasy League Challenge,Basketball,196.78,Signed Jersey,305.93,26-35,UK,Desktop,Male,0
C003_58,C003,Football Fantasy League Challenge,Basketball,414.88,,0,26-35,Germany,Desktop,Female,0
C003_59,C003,Football Fantasy League Challenge,Basketball,156.69,Discount Voucher,943.77,18-25,USA,Mobile,Female,0
C003_60,C003,Football Fantasy League Challenge,Basketball,98.32,,0,18-25,USA,Mobile,Male,0
C003_61,C003,Football Fantasy League Challenge,Basketball,162.07,,0,<18,UK,Mobile,Female,0
C003_62,C003,Football Fantasy League Challenge,Basketball,399.79,,0,26-35,India,Mobile,Male,0
C003_63,C003,Football Fantasy League Challenge,Basketball,228.37,,0,36-45,Brazil,Desktop,Male,0
C003_64,C003,Football Fantasy League Challenge,Basketball,180.2,,0,36-45,India,Desktop,Male,0
C003_65,C003,Football Fantasy League Challenge,Basketball,349.14,Merchandise Pack,736.45,<18,Brazil,Mobile,Female,0
C003_66,C003,Football Fantasy League Challenge,Basketball,418.14,Discount Voucher,503.08,18-25,Australia,Mobile,Male,0
C003_67,C003,Football Fantasy League Challenge,Basketball,296.51,,0,<18,India,Mobile,Female,0
C003_68,C003,Football Fantasy League Challenge,Basketball,287.23,Fan Token,339.04,36-45,Australia,Desktop,Male,0
C003_69,C003,Football Fantasy League Challenge,Basketball,99.66,Merchandise Pack,659.28,26-35,India,Tablet,Male,0
C003_70,C003,Football Fantasy League Challenge,Basketball,134.87,,0,18-25,Australia,Mobile,Male,0
C003_71,C003,Football Fantasy League Challenge,Basketball,178.43,Fan Token,334.57,46-60,USA,Desktop,Male,0
C003_72,C003,Football Fantasy League Challenge,Basketball,423.31,,0,26-35,India,Mobile,Male,0
C003_73,C003,Football Fantasy League Challenge,Basketball,405.1,,0,<18,Australia,Mobile,Female,0
C003_74,C003,Football Fantasy League Challenge,Basketball,157.25,Fan Token,805.52,26-35,India,Mobile,Female,0
C003_75,C003,Football Fantasy League Challenge,Basketball,131.47,,0,<18,USA,Tablet,Male,0
C003_76,C003,Football Fantasy League Challenge,Basketball,366.21,,0,36-45,Germany,Mobile,Male,0
C003_77,C003,Football Fantasy League Challenge,Basketball,377.12,,0,<18,Brazil,Desktop,Male,0
C003_78,C003,Football Fantasy League Challenge,Basketball,189.77,Signed Jersey,944.78,26-35,Germany,Tablet,Male,0
C003_79,C003,Football Fantasy League Challenge,Basketball,423.31,,0,36-45,UK,Mobile,Male,0
C003_80,C003,Football Fantasy League Challenge,Basketball,122.9,Fan Token,328.13,36-45,Australia,Desktop,Male,0
C003_81,C003,Football Fantasy League Challenge,Basketball,95.63,Discount Voucher,904.55,26-35,Brazil,Desktop,Male,0
C003_82,C003,Football Fantasy League Challenge,Basketball,340.43,,0,36-45,Germany,Desktop,Female,0
C003_83,C003,Football Fantasy League Challenge,Basketball,68.21,,0,<18,UK,Mobile,Male,0
C003_84,C003,Football Fantasy League Challenge,Basketball,269.45,,0,26-35,USA,Tablet,Male,0
C003_85,C003,Football Fantasy League Challenge,Basketball,49.23,,0,26-35,USA,Desktop,Female,0
C003_86,C003,Football Fantasy League Challenge,Basketball,373.44,Discount Voucher,108.38,46-60,India,Mobile,Female,0
C003_87,C003,Football Fantasy League Challenge,Basketball,286.03,,0,46-60,Brazil,Mobile,Female,0
C003_88,C003,Football Fantasy League Challenge,Basketball,52.13,,0,<18,Germany,Mobile,Male,0
C003_89,C003,Football Fantasy League Challenge,Basketball,272.36,Merchandise Pack,609.31,36-45,USA,Tablet,Female,0
C003_90,C003,Football Fantasy League Challenge,Basketball,239.35,,0,18-25,India,Tablet,Female,0
C003_91,C003,Football Fantasy League Challenge,Basketball,138.55,,0,18-25,India,Desktop,Female,0
C003_92,C003,Football Fantasy League Challenge,Basketball,294.6,,0,18-25,India,Tablet,Male,0
C003_93,C003,Football Fantasy League Challenge,Basketball,308.13,Fan Token,728.88,26-35,Brazil,Desktop,Male,0
C003_94,C003,Football Fantasy League Challenge,Basketball,333.49,,0,26-35,Australia,Tablet,Female,0
C003_95,C003,Football Fantasy League Challenge,Basketball,308.98,,0,<18,Brazil,Tablet,Female,0
C003_96,C003,Football Fantasy League Challenge,Basketball,181.27,,0,26-35,USA,Tablet,Male,0
C003_97,C003,Football Fantasy League Challenge,Basketball,107.1,,0,18-25,Australia,Tablet,Female,0
C003_98,C003,Football Fantasy League Challenge,Basketball,284.26,Discount Voucher,585.28,<18,Brazil,Mobile,Female,0
C003_99,C003,Football Fantasy League Challenge,Basketball,77.56,,0,<18,India,Tablet,Female,0
C003_100,C003,Football Fantasy League Challenge,Basketball,127.15,Fan Token,872.57,26-35,Australia,Tablet,Female,0
C003_101,C003,Football Fantasy League Challenge,Basketball,142.87,Merchandise Pack,179.59,<18,USA,Tablet,Male,0
C003_102,C003,Football Fantasy League Challenge,Basketball,73.74,Signed Jersey,748.34,36-45,India,Mobile,Male,0
C003_103,C003,Football Fantasy League Challenge,Basketball,152.22,Signed Jersey,741.13,18-25,Australia,Desktop,Male,0
C003_104,C003,Football Fantasy League Challenge,Basketball,374.29,,0,36-45,USA,Tablet,Male,0
C003_105,C003,Football Fantasy League Challenge,Basketball,221.85,Match Tickets,440.85,<18,Germany,Tablet,Female,0
C003_106,C003,Football Fantasy League Challenge,Basketball,328.96,Discount Voucher,155.23,18-25,UK,Tablet,Female,0
C003_107,C003,Football Fantasy League Challenge,Basketball,285.6,Match Tickets,497.05,36-45,USA,Tablet,Male,0
C003_108,C003,Football Fantasy League Challenge,Basketball,387.39,,0,46-60,USA,Desktop,Female,0
C003_109,C003,Football Fantasy League Challenge,Basketball,279.94,Signed Jersey,952.42,26-35,India,Mobile,Male,0
C003_110,C003,Football Fantasy League Challenge,Basketball,403.69,Match Tickets,594.48,60+,UK,Mobile,Male,0
C003_111,C003,Football Fantasy League Challenge,Basketball,202.52,,0,18-25,Germany,Desktop,Male,0
C003_112,C003,Football Fantasy League Challenge,Basketball,394.97,,0,<18,UK,Mobile,Female,0
C003_113,C003,Football Fantasy League Challenge,Basketball,348.58,,0,18-25,USA,Desktop,Female,0
C003_114,C003,Football Fantasy League Challenge,Basketball,215.2,,0,60+,UK,Desktop,Male,0
C003_115,C003,Football Fantasy League Challenge,Basketball,405.95,Merchandise Pack,352.38,<18,Australia,Desktop,Female,0
C003_116,C003,Football Fantasy League Challenge,Basketball,199.4,,0,18-25,Brazil,Tablet,Male,0
C003_117,C003,Football Fantasy League Challenge,Basketball,64.03,,0,46-60,Germany,Mobile,Female,0
C003_118,C003,Football Fantasy League Challenge,Basketball,57.02,,0,18-25,Germany,Tablet,Female,0
C003_119,C003,Football Fantasy League Challenge,Basketball,314.36,Discount Voucher,455.16,<18,Germany,Desktop,Male,0
C003_120,C003,Football Fantasy League Challenge,Basketball,412.54,Signed Jersey,891.88,36-45,Germany,Tablet,Female,0
C003_121,C003,Football Fantasy League Challenge,Basketball,61.63,,0,36-45,Australia,Desktop,Male,0
C003_122,C003,Football Fantasy League Challenge,Basketball,144.15,,0,18-25,UK,Mobile,Female,0
C003_123,C003,Football Fantasy League Challenge,Basketball,414.95,,0,<18,USA,Desktop,Female,0
C003_124,C003,Football Fantasy League Challenge,Basketball,342.77,Signed Jersey,179.7,18-25,UK,Mobile,Male,0
C003_125,C003,Football Fantasy League Challenge,Basketball,110.79,Discount Voucher,473.5,26-35,Brazil,Tablet,Female,0
C003_126,C003,Football Fantasy League Challenge,Basketball,61.06,,0,26-35,India,Mobile,Male,0
C003_127,C003,Football Fantasy League Challenge,Basketball,211.09,,0,36-45,India,Mobile,Female,0
C003_128,C003,Football Fantasy League Challenge,Basketball,164.55,,0,26-35,UK,Desktop,Male,0
C003_129,C003,Football Fantasy League Challenge,Basketball,316.91,,0,36-45,Australia,Desktop,Male,0
C003_130,C003,Football Fantasy League Challenge,Basketball,149.18,Fan Token,324.69,18-25,USA,Mobile,Female,0
C003_131,C003,Football Fantasy League Challenge,Basketball,242.89,,0,<18,Germany,Desktop,Male,0
C003_132,C003,Football Fantasy League Challenge,Basketball,341,,0,26-35,Germany,Desktop,Male,0
C003_133,C003,Football Fantasy League Challenge,Basketball,252.81,,0,<18,USA,Desktop,Female,0
C003_134,C003,Football Fantasy League Challenge,Basketball,145,,0,<18,India,Tablet,Female,0
C003_135,C003,Football Fantasy League Challenge,Basketball,120.14,,0,46-60,India,Mobile,Female,0
C003_136,C003,Football Fantasy League Challenge,Basketball,303.38,Merchandise Pack,674.42,18-25,Brazil,Tablet,Male,0
C003_137,C003,Football Fantasy League Challenge,Basketball,221.07,Discount Voucher,289.5,<18,Germany,Mobile,Female,0
C003_138,C003,Football Fantasy League Challenge,Basketball,294.25,,0,18-25,Brazil,Tablet,Male,0
C003_139,C003,Football Fantasy League Challenge,Basketball,61.13,,0,18-25,Brazil,Desktop,Female,0
C003_140,C003,Football Fantasy League Challenge,Basketball,272.64,,0,18-25,Australia,Tablet,Male,0
C003_141,C003,Football Fantasy League Challenge,Basketball,264.78,,0,36-45,Brazil,Mobile,Female,0
C003_142,C003,Football Fantasy League Challenge,Basketball,311.39,Match Tickets,108.05,26-35,India,Desktop,Female,0
C003_143,C003,Football Fantasy League Challenge,Basketball,222.14,,0,18-25,India,Desktop,Male,0
C003_144,C003,Football Fantasy League Challenge,Basketball,389.66,,0,<18,Germany,Desktop,Female,0
C003_145,C003,Football Fantasy League Challenge,Basketball,101.36,,0,<18,Germany,Desktop,Male,0
C003_146,C003,Football Fantasy League Challenge,Basketball,123.89,,0,26-35,India,Mobile,Female,0
C003_147,C003,Football Fantasy League Challenge,Basketball,50.72,,0,<18,Australia,Desktop,Female,0
C003_148,C003,Football Fantasy League Challenge,Basketball,376.41,,0,36-45,USA,Mobile,Female,0
C003_149,C003,Football Fantasy League Challenge,Basketball,77.42,,0,26-35,Germany,Desktop,Female,0
C003_150,C003,Football Fantasy League Challenge,Basketball,104.91,Merchandise Pack,802.86,26-35,India,Desktop,Female,0
C003_151,C003,Football Fantasy League Challenge,Basketball,88.47,Merchandise Pack,166.32,18-25,Germany,Desktop,Male,0
C003_152,C003,Football Fantasy League Challenge,Basketball,287.8,,0,26-35,Brazil,Mobile,Female,0
C003_153,C003,Football Fantasy League Challenge,Basketball,349.21,,0,36-45,Australia,Desktop,Male,0
C003_154,C003,Football Fantasy League Challenge,Basketball,81.81,,0,18-25,Germany,Mobile,Female,0
C003_155,C003,Football Fantasy League Challenge,Basketball,149.25,,0,60+,Germany,Desktop,Male,0
C003_156,C003,Football Fantasy League Challenge,Basketball,324.63,,0,36-45,Brazil,Desktop,Male,0
C003_157,C003,Football Fantasy League Challenge,Basketball,370.46,,0,26-35,UK,Desktop,Female,0
C003_158,C003,Football Fantasy League Challenge,Basketball,252.74,,0,26-35,USA,Tablet,Male,0
C003_159,C003,Football Fantasy League Challenge,Basketball,324.71,,0,36-45,USA,Mobile,Male,0
C003_160,C003,Football Fantasy League Challenge,Basketball,374.36,,0,<18,India,Desktop,Female,0
C003_161,C003,Football Fantasy League Challenge,Basketball,120.21,,0,26-35,Germany,Tablet,Male,0
C003_162,C003,Football Fantasy League Challenge,Basketball,314.51,,0,18-25,Brazil,Desktop,Male,0
C003_163,C003,Football Fantasy League Challenge,Basketball,338.94,Signed Jersey,976.03,<18,Australia,Mobile,Female,0
C003_164,C003,Football Fantasy League Challenge,Basketball,363.74,,0,46-60,Germany,Desktop,Male,0
C003_165,C003,Football Fantasy League Challenge,Basketball,219.73,,0,18-25,India,Desktop,Female,0
C003_166,C003,Football Fantasy League Challenge,Basketball,301.05,,0,<18,UK,Desktop,Female,0
C003_167,C003,Football Fantasy League Challenge,Basketball,126.79,,0,60+,India,Desktop,Male,0
C003_168,C003,Football Fantasy League Challenge,Basketball,328.39,,0,46-60,USA,Tablet,Male,0
C003_169,C003,Football Fantasy League Challenge,Basketball,323.15,,0,<18,UK,Desktop,Female,0
C003_170,C003,Football Fantasy League Challenge,Basketball,224.55,Fan Token,866.73,26-35,India,Desktop,Female,0
C003_171,C003,Football Fantasy League Challenge,Basketball,424.72,,0,18-25,Brazil,Mobile,Male,0
C003_172,C003,Football Fantasy League Challenge,Basketball,60.21,,0,26-35,UK,Desktop,Female,0
C003_173,C003,Football Fantasy League Challenge,Basketball,423.09,,0,18-25,UK,Tablet,Male,0
C003_174,C003,Football Fantasy League Challenge,Basketball,257.84,,0,36-45,USA,Mobile,Male,0
C003_175,C003,Football Fantasy League Challenge,Basketball,349.85,,0,36-45,India,Mobile,Female,0
C003_176,C003,Football Fantasy League Challenge,Basketball,205.56,,0,18-25,Germany,Tablet,Male,0
C003_177,C003,Football Fantasy League Challenge,Basketball,89.61,,0,18-25,UK,Tablet,Male,0
C003_178,C003,Football Fantasy League Challenge,Basketball,194.79,Signed Jersey,841.7,18-25,Germany,Desktop,Female,0
C003_179,C003,Football Fantasy League Challenge,Basketball,76.22,Fan Token,785.64,60+,Australia,Desktop,Male,0
C003_180,C003,Football Fantasy League Challenge,Basketball,263.43,,0,26-35,Germany,Desktop,Female,0
C003_181,C003,Football Fantasy League Challenge,Basketball,253.8,,0,<18,USA,Desktop,Male,0
C003_182,C003,Football Fantasy League Challenge,Basketball,324.71,Discount Voucher,565.03,26-35,Germany,Mobile,Female,0
C003_183,C003,Football Fantasy League Challenge,Basketball,125.59,,0,<18,Brazil,Tablet,Male,0
C003_184,C003,Football Fantasy League Challenge,Basketball,247.14,,0,26-35,India,Tablet,Male,0
